index,id,name_of_work,content,source
14,poem_sum:429,A Ballad of Two Knights by Sara Teasdale,"Two knights rode forth at early dawn A-seeking maids to wed, Said one, ""My lady must be fair, With gold hair on her head."" Then spake the other knight-at-arms: ""I care not for her face, But she I love must be a dove For purity and grace."" And each knight blew upon his horn And went his separate way, And each knight found a lady-love Before the fall of day. But she was brown who should have had The shining yellow hair, I ween the knights forgot their words Or else they ceased to care. For he who wanted purity Brought home a wanton wild, And when each saw the other knight I seen that each knight smiled.",poem_sum
15,tiny_story:811791,TinyStory 811791,"Once upon a time, there was an octopus who lived in a distant ocean. He loved to explore, and so, he swam from one end of the sea to the other. 

One day, as he was swimming, he started to sneeze. The noise was loud, and it echoed through the waves. ""What was that noise?"" wondered a passing fish. 

The octopus replied, ""It was me. I was sneezing!"" 

The fish smiled. ""Why were you sneezing?"" 

The octopus explained that he had gone on a long swim and was tired. ""Now I'm resting,"" he said. 

The fish nodded and continued swimming away, and the octopus giggled. He was happy that he had been able to explore the distant ocean.",tiny_story
16,poem_sum:1336,Easter Wings by George Herbert,"Lord, who createdst man in wealth and store, Though foolishly he lost the same, Decaying more and more, Till he became Most poore: With thee O let me rise As larks, harmoniously, And sing this day thy victories: Then shall the fall further the flight in me. My tender age in sorrow did beginne And still with sicknesses and shame. Thou didst so punish sinne, That I became Most thinne. With thee Let me combine, And feel thy victorie: For, if I imp my wing on thine, Affliction shall advance the flight in me.",poem_sum
17,tiny_story:1705452,TinyStory 1705452,"Once upon a time there were two friends, Tom and Jack. They were having lots of fun together, playing in the garden. But then one day, something sad happened. They started to argue and Tom got so angry that he split with Jack.

It was so quiet and lonely after Tom split with Jack. Tom wanted to talk to his friend again, but he didn't know how. Then one day, Tom saw a tiny sparkle in the sky. He realised it was a special kind of magic and he knew he had to follow it!

So Tom followed the sparkle to a deep, dark cave. There, he found his old friend, Jack. But Jack was scared to touch. Tom knew he needed to show Jack he was sorry, so he gave him a big hug.

When they hugged, they both felt a spark. They realised they never needed to split in the first place and that they could be friends forever. They hugged and laughed and it was a very happy ending!",tiny_story
18,tiny_story:281664,TinyStory 281664,"Once upon a time, there was a playful puppy named Max. Max loved to run and jump in the grass. One day, Max and his friend, a little bird named Tweet, saw the sunset. The sunset was so pretty! Max asked Tweet, ""What is that?"" Tweet said, ""That's the sunset. It happens every evening."" Max had a lot of questions about the sunset. Tweet answered all of his questions. Max and Tweet watched the sunset together and had a lot of fun playing.",tiny_story
19,tiny_story:2083298,TinyStory 2083298,"Once upon a time, there was a boy named Timmy who loved to collect junk. He would pick up old toys, broken pencils, and even empty candy wrappers. One day, Timmy's friend Billy came over to play.

""Wow, Timmy! You have a lot of junk!"" said Billy.

""I know,"" replied Timmy. ""But I like it. Sometimes I can match the broken pieces to make something new.""

""That's honest cool,"" said Billy.

Suddenly, Timmy's mom called them for lunch. As they sat down to eat, Timmy's mom asked, ""Did you boys have fun playing?""

""Yes,"" said Timmy. ""Billy thinks my junk is cool.""

""Well, as long as you're happy and honest with yourself, that's all that matters,"" said Timmy's mom.",tiny_story
20,poem_sum:2,Not Here by Jane Kenyon,"Searching for pillowcases trimmed with lace that my mother-in-law once made, I open the chest of drawers upstairs to find that mice have chewed the blue and white linen dishtowels to make their nest, and bedded themselves among embroidered dresser scarves and fingertip towels. Tufts of fibers, droppings like black caraway seeds, and the stains of birth and afterbirth give off the strong unforgettable attar of mouse that permeates an old farmhouse on humid summer days. A couple of hickory nuts roll around as I lift out the linens, while a hail of black sunflower shells falls on the pillowcases, yellow with age, but intact. I'll bleach them and hang them in the sun to dry. There's almost no one left who knows how to crochet lace.... The bright-eyed squatters are not here. They've scuttled out to the fields for summer, as they scuttled in for winter--along the wall, from chair to skirted chair, making themselves flat and scarce while the cat dozed with her paws in the air, and we read the mail or evening paper, unaware.",poem_sum
21,tiny_story:1023833,TinyStory 1023833,"Once upon a time, there was a little girl named Lily. She loved strawberries very much. One day, Lily went to the store with her mom and saw a great big box of strawberries. She asked her mom if they could buy them, and her mom said yes.

When they got home, Lily decided to make a strawberry smoothie. She put some strawberries in the blender and added some milk. Then she turned on the blender and watched as the strawberries changed into a yummy pink drink.

Lily was so happy with her great strawberry smoothie that she drank it all up. From that day on, Lily knew that she could change strawberries into something even more delicious.",tiny_story
22,tiny_story:1111693,TinyStory 1111693,"Once upon a time, there was a friendly little girl named Bella who loved to play with string. She enjoyed making shapes and designs out of the colorful string. The string gave her so much joy.

One day, Bella's mommy took her to a tall tree in the woods. She encouraged Bella to climb the slippery tree. Bella was very fearful, but she knew it would be fun to try. With mommy's help, she managed to climb up to the top of the tree.

Bella was so proud of herself. She looked down and smiled when she felt the gentle breeze on her face. She made a game out of the string by weaving it around the branches of the tree. She was so excited when she made a beautiful bird out of the string.

Bella was happy that her mommy had encouraged her to do something brave. She knew that with her own encourage she could do anything!",tiny_story
23,tiny_story:120568,TinyStory 120568,"Once upon a time, there was an intelligent bunny. He had a big smile and liked to wink. 

One day, the bunny found some carrots in the garden. He was very excited and wanted to share them with his friends. He quickly gathered the carrots into his basket, and hopped away. 

He delivered the basket of carrots to his friends. They were very thankful and hugged the bunny. They shared the carrots and played together. 

The bunny also provided his friends with a surprise. He gave them each a funny hat. The hats made everyone laugh and giggle and everyone was so happy! 

To finish their fun day, the bunny gave one last wink. He was so happy to have been able to provide his friends with joy and smiles. His friends thanked the bunny and hugged him one last time before he hopped away.",tiny_story
24,tiny_story:2057787,TinyStory 2057787,"Once upon a time there was a family who loved stores. They would often go and explore the store together. On one of their visits, they tasted something new. It was a harmless treat and everyone liked the taste. Afterwards, they went around the store looking for more tasty treats, but they never found any that tasted as good as the first one! In the end, they went home happy with the knowledge they had found something that tasted so harmless and delicious. The end.",tiny_story
25,poem_sum:1944,I Dream a World by Langston Hughes,"I dream a world where man No other man will scorn, Where love will bless the earth And peace its paths adorn I dream a world where all Will know sweet freedom's way, Where greed no longer saps the soul Nor avarice blights our day. A world I dream where black or white, Whatever race you be, Will share the bounties of the earth And every man is free, Where wretchedness will hang its head And joy, like a pearl, Attends the needs of all mankind- Of such I dream, my world!",poem_sum
26,tiny_story:1292359,TinyStory 1292359,"The little boy was in a dangerous forest all alone. He didn't know what to do, so he decided to surrender. He closed his eyes and waited. Suddenly, he heard the soft rustling of wings and looked up to see a small bird. Its feathers were so colourful, the little boy smiled.

The bird flew right up to the little boy and then settled next to him. It opened its beak and dropped a small, blue journal. The little boy was so excited! He reached out and picked it up, carefully opening it. Inside, he saw colourful pictures and stories of different kinds of creatures.

The little boy thanked the bird and looked around at the dangerous forest. He felt different now - he could explore this place without fear. He snuggled the journal under his arm and walked off into the forest, ready for adventure!",tiny_story
27,tiny_story:1115441,TinyStory 1115441,"Once there was a girl named Jill. Jill was three years old and loved to play. One day, Jill found a funny-looking object in the junk pile. She picked it up and shook it. It started to ring loudly. She was scared and dropped it. Then she felt hurt. She cried for her mom. 

Her mom came running and hugged her tightly. Together, they looked at the strange object that was making the loud noise. After a few moments, Jill's mom picked up the object. She showed Jill that it was a toy that had been broken. 

Jill smiled and said, ""Can we fix it?"" Her mom found some glue and they worked together to make the toy as good as new. When they finished, the toy made a gentle ringing noise that made both Jill and her mom smile. From then on, the toy was one of Jill's favorite toys. It didn't hurt her anymore.",tiny_story
28,tiny_story:717333,TinyStory 717333,"Once there was a naughty bear named Bandit. Bandit always seemed to get into trouble. One day he was wandering around the woods and he came across a bag. He was so curious he decided to open the bag. Inside the bag was a delicious drink. 

Bandit picked up the drink and was about to drink it, but he heard a voice. It said, â€œMove away! That drink belongs to me!â€ Bandit was so startled he dropped the drink. He looked around and saw it was a rabbit.

The rabbit told him, â€œYou were very naughty for taking something that isn't yours. Next time you see something you should stop and think!â€ 

Bandit said he was very sorry and from that day on he always stopped and thought before he touched something that wasnâ€™t his. He learned his lesson and realized it was much better to be nice than naughty.",tiny_story
29,tiny_story:1707978,TinyStory 1707978,"Once upon a time, there was a little girl named Lily. She loved going to church with her family every Sunday. One day, her mom told her they were going to prepare a surprise for the church. Lily was very excited to help.

When they arrived at the church, Lily noticed something was different. The church was empty and quiet. Her mom explained that they had to prepare the surprise before everyone arrived. Lily didn't understand what the surprise was, but she knew it was going to be fun.

Together, they set up a big table with colorful decorations and yummy treats. Lily helped her mom put up balloons and streamers. She felt proud to be a part of preparing the surprise for the church.

Finally, the surprise was ready and the church was full of people. Everyone was happy and surprised when they saw the decorations and treats. Lily smiled and felt happy too. She knew that preparing the surprise was worth it.",tiny_story
30,tiny_story:1120835,TinyStory 1120835,"Once upon a time there was a pretty girl called Daisy. Daisy loved to explore and one day she decided to go for a walk in the forest. As Daisy walked, she saw a glistening light appear in the distance. She quickly ran towards it and found a beautiful glass house. It was so charming and sparkly that Daisy couldn't believe her eyes. 

Curious, Daisy walked into the glass house. She saw that inside the house were lots of shiny glass boxes with the most fascinating creatures in them. Daisy had never seen anything like them before. She wanted to get closer to them and to see what they looked like, so she moved closer. 

Suddenly, Daisy heard a voice calling out to her. It was a kind voice and it asked Daisy if she wanted to take one of the glass creatures home with her. Daisy quickly thought it over and decided she would take one of them home. She chose the cutest little creature and put it in her pocket. It was the most charming thing she had ever seen. 

On the way home, Daisy imagined what life would be like with her new creature. She was so excited about all the new adventures she and her creature would have together. 

That's the story of Daisy and her special glass creature. They lived happily ever after.",tiny_story
31,tiny_story:183611,TinyStory 183611,"Once upon a time, there was a yellow bird named Billy. Billy had a big hole in his wing. He could not fly. He was very sad. His friend, Mr. Fox, wanted to help him.

Mr. Fox said, ""I can repair your wing, Billy. I will use a stitch to fix the hole."" Billy was happy. He wanted to fly again. Mr. Fox took a needle and thread. He began to stitch the hole in Billy's wing.

But Mr. Fox was not good at repairing wings. He made a mistake. The hole was still there. Billy tried to fly, but he fell down. He was very sad. Mr. Fox said, ""I am sorry, Billy. I tried my best.""

Billy could not fly anymore. He had to walk everywhere. His wing never got better. The end.",tiny_story
32,tiny_story:788622,TinyStory 788622,"Lily likes to draw with her pen. She makes pictures of her family, her dog, and her toys. She is very playful and happy when she draws.

One day, she draws on the wall. She thinks it is fun to make a big picture on the white wall. She draws a sun, a flower, and a smiley face. She does not know that it is bad to draw on the wall.

Mom sees the wall and is not happy. She says, ""Lily, what did you do? You cannot draw on the wall. That is naughty. You have to wash the wall and say sorry.""

Lily feels sad. She does not want to wash the wall. She likes her picture. She says, ""But Mom, I made a pretty picture. I was playful. I did not mean to be naughty.""

Mom says, ""I know you were playful, but you have to learn the rules. The wall is not for drawing. The paper is for drawing. You have to wash the wall and then you can draw on the paper. I will help you wash the wall and then we can draw together.""

Lily nods. She says, ""Okay, Mom. I am sorry. I will wash the wall and then I will draw on the paper with you."" She takes a cloth and some water and starts to wash the wall. Mom helps her. They wash the wall until it is white again.

Then, they sit on the floor and draw on the paper. Lily draws a heart and writes, ""I love Mom"". Mom draws a star and writes, ""I love Lily"". They hug and smile. They are playful and happy again.",tiny_story
33,tiny_story:2071603,TinyStory 2071603,"One sunny day, Mary was playing in the garden. She was looking for something to play with when she saw a huge cauliflower growing in the garden. She was so excited, it was so big! She ran over and picked it up.

Mary wanted to show everyone how big it was, so she decided to take it to the park. She carried it in her little hands and everyone she passed looked at her with big eyes.

When she got to the park, she found a nice spot and put down the cauliflower. The sun shone on it and it sparkled in the sweet summer light. Mary smiled at how beautiful it looked.

Mary took out her crayons and drew pictures of the cauliflower. Everyone who walked past stopped and smiled at the huge cauliflower. Mary was very proud of her cauliflower and she kept looking at it until the sun went down and it was time to go home.",tiny_story
34,tiny_story:1393695,TinyStory 1393695,"Lily and Sam were on a big boat with their mom and dad. They wanted to see the whales in the water. They looked and looked, but they could not see any whales.

""Where are the whales, mom?"" Lily asked.

""They are hiding, sweetie. They are shy. Maybe they will come out soon,"" mom said.

Lily and Sam were upset. They wanted to see the whales so much. They started to cry.

""Shh, don't cry, kids. Look, there is a whale!"" dad said, pointing to the water.

Lily and Sam stopped crying and looked. They saw a big, gray whale with a white belly. It was swimming near the boat. It made a loud sound, like a horn.

""Wow, it's a whale! It's so big and beautiful!"" Lily said.

""Hello, whale! Thank you for coming out!"" Sam said.

The whale heard them and looked at them. It smiled and waved its tail. It splashed some water on the boat.

Lily and Sam laughed and clapped. They were so happy. They settled down and watched the whale for a long time. They forgot why they were upset. They had a wonderful day with the whale.",tiny_story
35,tiny_story:367739,TinyStory 367739,"Mary had a big smile on her face. She was so excited that she was going to the freezer. She had heard from her parents that it was full of yummy treats.

When she opened the door, the cold, rough air hit her nose. She shivered and starting rubbing her hands together to keep warm. But soon enough, all the treats made her forget all about the cold.

All around her were stacks of frozen popsicles, cushions of ice cream and ice cubes in delicious flavors. Mary couldn't believe her luck! She went around the freezer and picked her favorite ones.

As she left the freezer, Mary could feel the same big smile on her face as when she went in. She had a treat in her hand and was ready to enjoy the summer day.",tiny_story
36,tiny_story:1963955,TinyStory 1963955,"One day, a little girl named Lily went for a walk. She wore her unusual coat with many colors. The sun was shining, and the birds were singing.

As she walked, she met a small cat. The cat said, ""Meow, Lily, you should warn your mom that it might rain later."" Lily looked at the sky, but it was still blue and sunny. ""Thank you, cat,"" she said, ""I will tell her.""

Lily ran back home and told her mom about the cat's warning. Her mom smiled and said, ""That's very kind of the cat, but I think we will be okay."" They both looked outside, and the sun was still shining. Lily felt happy that she had helped, and she went back to play outside with her unusual coat.",tiny_story
37,tiny_story:2104847,TinyStory 2104847,"One day, Mommy and Daddy took their little girl to the store. She was so excited to be there. Daddy showed her all the different kinds of glue and asked her which one she wanted. She picked out the pink glue and was even more excited. 

They took the glue home and the little girl had an idea. She grabbed some of her toys and paper, and began to make something new. She was hoping it would turn out exactly how she wanted. 

Since it was a special project, Mommy and Daddy stayed with her the entire time to help. They helped her glue everything together and the finished project turned out much better than they all expected. Daddy said he was really proud of her. 

The little girl was so happy with her project and smiled at Mommy and Daddy. She was full of hope that her project had turned out great.",tiny_story
38,tiny_story:1163641,TinyStory 1163641,"Lily and Max were playing in the kitchen. They liked to pretend they were chefs and make yummy food. Lily had a big pot and Max had a wooden spoon. They put some water in the pot and turned on the faucet. The water was cold and made a loud noise.

""Let's make soup!"" Lily said. ""What do we need?""

Max looked around and saw some brown things on the table. They were potatoes. He grabbed one and tried to cut it with the spoon. It was hard and did not cut.

""We need a knife!"" Max said. ""I saw one in the drawer.""

Lily nodded and opened the drawer. She found a shiny knife and gave it to Max. He smiled and started to cut the potato. He cut it into small pieces and put them in the pot.

""Be careful!"" Lily said. ""The knife is sharp. It can hurt you.""

Max nodded and cut another potato. He was having fun. He did not see that the water in the pot was getting hot. He did not see that the flame under the pot was getting bigger. He did not smell the smoke.

Lily saw the smoke and smelled the fire. She was scared. She ran to the faucet and turned it off. She ran to the pot and tried to move it. It was heavy and hot. It burned her hand. She screamed.

""Ow! Ow! Ow!"" Lily cried. ""It burns! It burns!""

Max heard Lily and dropped the knife. He saw the fire and the smoke. He saw Lily's hand. It was red and hurt. He was sorry. He ran to Lily and hugged her.

""I'm sorry! I'm sorry!"" Max said. ""Are you okay?""

Lily shook her head. She was not okay. She was in pain. She wanted her mom.

""Mom! Mom!"" Lily and Max shouted. ""Help! Help!""

Mom heard the shouts and ran to the kitchen. She saw the fire and the smoke. She saw Lily and Max. She was angry and worried. She grabbed a towel and put out the fire. She turned on the faucet and ran cold water over Lily's hand. She hugged Lily and Max.

""What were you doing?"" Mom asked. ""You could have been hurt. You could have burned the house. You should never play with knives or fire. They are dangerous.""

Lily and Max nodded. They were sorry. They did not mean to make a mess. They did not mean to hurt Lily. They did not mean to scare Mom. They learned their lesson.

""We're sorry, Mom,"" Lily and Max said. ""We won't do it again. We love you.""

Mom smiled and kissed them. She loved them too. She was glad they were safe. She took them to the couch and put a bandage on Lily's hand. She gave them some cookies and milk. She told them a story. They were happy. They forgot about the soup.",tiny_story
39,tiny_story:53577,TinyStory 53577,"Once upon a time, there was a large, strong bull. Every day, the bull would stand in the middle of the field and he would charge, bellowing and snorting.

One day, a little mouse scampered out from among the grass and cried out to the bull, ""Please! Please stop! Youâ€™re scaring all the animals in the field!""

The bull was taken aback. He stopped charging and bowed his head. He whispered to the tiny mouse, ""Iâ€™m sorry, little one. I didnâ€™t realize I was scaring you.""

The mouse smiled and said, ""Itâ€™s okay! But why donâ€™t you just use your horn when you want to be heard? That way, you wonâ€™t have to scare anyone!""

The bull understood. From then on, instead of charging and bellowing, he used his large horn to let everyone in the field know he was there.

The moral of this story is that itâ€™s better to be kind and respectful than to charge or scare others.",tiny_story
40,poem_sum:1399,Passion For Solitude by Cesare Pavese,"I'm eating a little supper by the bright window. The room's already dark, the sky's starting to turn. Outside my door, the quiet roads lead, after a short walk, to open fields. I'm eating, watching the sky--who knows how many women are eating now. My body is calm: labor dulls all the senses, and dulls women too. Outside, after supper, the stars will come out to touch the wide plain of the earth. The stars are alive, but not worth these cherries, which I'm eating alone. I look at the sky, know that lights already are shining among rust-red roofs, noises of people beneath them. A gulp of my drink, and my body can taste the life of plants and of rivers. It feels detached from things. A small dose of silence suffices, and everything's still, in its true place, just like my body is still. All things become islands before my senses, which accept them as a matter of course: a murmur of silence. All things in this darkness--I can know all of them, just as I know that blood flows in my veins. The plain is a great flowing of water through plants, a supper of all things. Each plant, and each stone, lives motionlessly. I hear my food feeding my veins with each living thing that this plain provides. The night doesn't matter. The square patch of sky whispers all the loud noises to me, and a small star struggles in emptiness, far from all foods, from all houses, alien. It isn't enough for itself, it needs too many companions. Here in the dark, alone, my body is calm, it feels it's in charge.",poem_sum
41,tiny_story:466297,TinyStory 466297,"Once there was a patch in the ground. It was full of holes, fierce with its sharp edges. Every day, a little girl came by and looked at the patch. One day she decided to try something. She got a rock and started counting the holes.

She filled one after another with the rock. She kept counting and counting until she was done. On the last day she stepped back to admire her work.

The patch was now flat with no holes! But something seemed different. The little girl counted one, two, three and there it was - a big four-leaf clover! It was so special, it must have been hiding in the patch the whole time! 

The little girl smiled at her fierce discovery. She was so proud of it, she would never forget the patch.",tiny_story
42,tiny_story:2085900,TinyStory 2085900,"Once upon a time, there was a little boy named Ben. Ben was only three years old and was very curious. One day, he decided he wanted to explore the world around him. He began to wander through the dark, musty corridors of an old, forgotten chamber.

The chamber was filthy, with cobwebs in every corner and dust covering the ground. Ben looked around in awe, but soon became scared. He didn't understand why it was so dark and silent. All of a sudden, he heard a voice.

""Don't be scared Ben,"" said the voice.

Startled, Ben quickly looked around. He soon spotted a little, furry creature with a friendly face.

""What are you?"" asked Ben.

""I'm a Mouse."" Replied the creature.

The Mouse explained to Ben that the chamber was his home and he had been sleeping in a small corner when Ben arrived. Ben was fascinated and asked the Mouse if he could stay for a bit. The Mouse was happy to agree and even showed Ben his cozy bed.

The two shared the chamber for a few hours, until Ben's parents called for him. eventuallly, Ben had to return home and the Mouse wished him a safe journey. Ben thanked the Mouse for his hospitality and promised to come back one day.

Before he left, the Mouse reminded Ben to never be scared, even in a filthy chamber.",tiny_story
