name_of_work,content,,,,,,,,,,,,,,
Love on the Farm by D.H. Lawrence,"What large, dark hands are those at the window
Lifted, grasping the golden light
Which weaves its way through the creeper leaves
To my heart’s delight?
Ah, only the leaves! But in the west,
In the west I see a redness come
Over the evening’s burning breast--
--’Tis the wound of love goes home!
The woodbine creeps abroad
Calling low to her lover:
The sun-lit flirt who all the day
Has poised above her lips in play
And stolen kisses, shallow and gay
Of pollen, now has gone away
--She woos the moth with her sweet, low word,
And when above her his broad wings hover
Then her bright breast she will uncover
And yield her honey-drop to her lover.
Into the yellow, evening glow
Saunters a man from the farm below,
Leans, and looks in at the low-built shed
Where hangs the swallow’s marriage bed.
The bird lies warm against the wall.
She glances quick her startled eyes
Towards him, then she turns away
Her small head, making warm display
Of red upon the throat. His terrors sway
Her out of the nest’s warm, busy ball,
Whose plaintive cry is heard as she flies
In one blue stoop from out the sties
Into the evening’s empty hall.
Oh, water-hen, beside the rushes
Hide your quaint, unfading blushes,
Still your quick tail, and lie as dead,
Till the distance folds over his ominous tread.
The rabbit presses back her ears,
Turns back her liquid, anguished eyes
And crouches low: then with wild spring
Spurts from the terror of _his_ oncoming
To be choked back, the wire ring
Her frantic effort throttling:
Piteous brown ball of quivering fears!
Ah soon in his large, hard hands she dies,
And swings all loose to the swing of his walk.
Yet calm and kindly are his eyes
And ready to open in brown surprise
Should I not answer to his talk
Or should he my tears surmise.
I hear his hand on the latch, and rise from my chair
Watching the door open: he flashes bare
His strong teeth in a smile, and flashes his eyes
In a smile like triumph upon me; then careless-wise
He flings the rabbit soft on the table board
And comes towards me: ah, the uplifted sword
Of his hand against my bosom, and oh, the broad
Blade of his hand that raise my face to applaud
His coming: he raises up my face to him
And caresses my mouth with his fingers, which still smell grim
Of the rabbit’s fur! God, I am caught in a snare!
I know not what fine wire is round my throat,
I only know I let him finger there
My pulse of life, letting him nose like a stoat
Who sniffs with joy before he drinks the blood:
And down his mouth comes to my mouth, and down
His dark bright eyes descend like a fiery hood
Upon my mind: his mouth meets mine, and a flood
Of sweet fire sweeps across me, so I drown
Within him, die, and find death good.",,,,,,,,,,,,,,
Clearances by Seamus Heaney,"She taught me what her uncle once taught her:
How easily the biggest coal block split
If you got the grain and hammer angled right.

The sound of that relaxed alluring blow,
Its co-opted and obliterated echo,
Taught me to hit, taught me to loosen,

Taught me between the hammer and the block
To face the music. Teach me now to listen,
To strike it rich behind the linear black.

A cobble thrown a hundred years ago
Keeps coming at me, the first stone
Aimed at a great-grandmother's turncoat brow.
The pony jerks and the riot's on.
She's crouched low in the trap
Running the gauntlet that first Sunday
Down the brae to Mass at a panicked gallop.
He whips on through the town to cries of 'Lundy!'

Call her 'The Convert'. 'The Exogamous Bride'.
Anyhow, it is a genre piece
Inherited on my mother's side
And mine to dispose with now she's gone.
Instead of silver and Victorian lace,
The exonerating, exonerated stone.

Polished linoleum shone there. Brass taps shone.
The china cups were very white and big—
An unchipped set with sugar bowl and jug.
The kettle whistled. Sandwich and tea scone
Were present and correct. In case it run,
The butter must be kept out of the sun.
And don't be dropping crumbs. Don't tilt your chair.
Don't reach. Don't point. Don't make noise when you stir.

It is Number 5, New Row, Land of the Dead,
Where grandfather is rising from his place
With spectacles pushed back on a clean bald head
To welcome a bewildered homing daughter
Before she even knocks. 'What's this? What's this?'
And they sit down in the shining room together.

When all the others were away at Mass
I was all hers as we peeled potatoes.
They broke the silence, let fall one by one
Like solder weeping off the soldering iron:
Cold comforts set between us, things to share
Gleaming in a bucket of clean water.
And again let fall. Little pleasant splashes
From each other's work would bring us to our senses.

So while the parish priest at her bedside
Went hammer and tongs at the prayers for the dying
And some were responding and some crying
I remembered her head bent towards my head,
Her breath in mine, our fluent dipping knives—
Never closer the whole rest of our lives.

Fear of affectation made her affect
Inadequacy whenever it came to
Pronouncing words 'beyond her'. Bertold Brek.
She'd manage something hampered and askew
Every time, as if she might betray
The hampered and inadequate by too
Well-adjusted a vocabulary.
With more challenge than pride, she'd tell me, 'You
Know all them things.' So I governed my tongue
In front of her, a genuinely well-
Adjusted adequate betrayal
Of what I knew better. I'd naw and aye
And decently relapse into the wrong
Grammar which kept us allied and at bay.

The cool that came off sheets just off the line
Made me think the damp must still be in them
But when I took my corners of the linen
And pulled against her, first straight down the hem
And then diagonally, then flapped and shook
The fabric like a sail in a cross-wind,
They made a dried-out undulating thwack.
So we'd stretch and fold and end up hand to hand
For a split second as if nothing had happened
For nothing had that had not always happened
Beforehand, day by day, just touch and go,
Coming close again by holding back
In moves where I was x and she was o
Inscribed in sheets she'd sewn from ripped-out flour sacks.

In the first flush of the Easter holidays
The ceremonies during Holy Week
Were highpoints of our Sons and Lovers phase.
The midnight fire. The paschal candlestick.
Elbow to elbow, glad to be kneeling next
To each other up there near the front
Of the packed church, we would follow the text
And rubrics for the blessing of the font.
As the hind longs for the streams, so my soul. . .
Dippings. Towellings. The water breathed on.
The water mixed with chrism and with oil.
Cruet tinkle. Formal incensation
And the psalmist's outcry taken up with pride:
Day and night my tears have been my bread.

In the last minutes he said more to her
Almost than in all their life together.
'You'll be in New Row on Monday night
And I'll come up for you and you'll be glad
When I walk in the door . . . Isn't that right?'
His head was bent down to her propped-up head.
She could not hear but we were overjoyed.
He called her good and girl. Then she was dead,
The searching for a pulsebeat was abandoned
And we all knew one thing by being there.
The space we stood around had been emptied
Into us to keep, it penetrated
Clearances that suddenly stood open.
High cries were felled and a pure change happened.

I thought of walking round and round a space
Utterly empty, utterly a source
Where the decked chestnut tree had lost its place
In our front hedge above the wallflowers.
The white chips jumped and jumped and skited high.
I heard the hatchet's differentiated
Accurate cut, the crack, the sigh
And collapse of what luxuriated
Through the shocked tips and wreckage of it all.
Deep-planted and long gone, my coeval
Chestnut from a jam jar in a hole,
Its heft and hush become a bright nowhere,
A soul ramifying and forever
Silent, beyond silence listened for.",,,,,,,,,,,,,,
Blowin’ in the Wind by Bob Dylan,"How many roads must a man walk down
Before you call him a man?
Yes, n how many seas must a white dove sail
Before she sleeps in the sand?
Yes, n how many times must the cannon balls fly
Before they're forever banned?
The answer, my friend, is blowin' in the wind,
The answer is blowin' in the wind.

How many years can a mountain exist
Before its washed to the sea?
Yes, n how many years can some people exist
Before they're allowed to be free?
Yes, n how many times can a man turn his head,
Pretending he just doesn't see?
The answer, my friend, is blowin' in the wind,
The answer is blowin' in the wind.

How many times must a man look up
Before he can see the sky?
Yes, n how many ears must one man have
Before he can hear people cry?
Yes, n how many deaths will it take till he knows
That too many people have died?
The answer, my friend, is blowin' in the wind,
The answer is blowin' in the wind.",,,,,,,,,,,,,,
I Said To Love by Thomas Hardy,"I said to Love,
""It is not now as in old days
When men adored thee and thy ways
All else above;
Named thee the Boy, the Bright, the One
Who spread a heaven beneath the sun,""
I said to Love.
I said to him,
""We now know more of thee than then;
We were but weak in judgment when,
With hearts abrim,
We clamoured thee that thou would'st please
Inflict on us thine agonies,""
I said to him.
I said to Love,
""Thou art not young, thou art not fair,
No faery darts, no cherub air,
Nor swan, nor dove
Are thine; but features pitiless,
And iron daggers of distress,""
I said to Love.
""Depart then, Love! . . .
- Man's race shall end, dost threaten thou?
The age to come the man of now
Know nothing of? -
We fear not such a threat from thee;
We are too old in apathy!
Mankind shall cease.--So let it be,""
I said to Love.",,,,,,,,,,,,,,
Sonnet 31 by Sir Philip Sidney,"With how sad steps, O Moon, thou climb’st the skies!
How silently, and with how wan a face!
What, may it be that even in heavenly place
That busy archer his sharp arrows tries?
Sure, if that long-with-love-acquainted eyes
Can judge of love, thou feel’st a lover’s case,
I read it in thy looks; thy languished grace,
To me that feel the like, thy state descries.
Then, even of fellowship, O Moon, tell me,
Is constant love deemed there but want of wit?
Are beauties there as proud as here they be?
Do they above love to be loved, and yet
Those lovers scorn whom that love doth possess?
Do they call virtue there ungratefulness?",,,,,,,,,,,,,,
"Description of Spring by Henry Howard, Earl of Surrey","The soote season, that bud and bloom forth brings,
With green hath clad the hill and eke the vale:
The nightingale with feathers new she sings;
The turtle to her make hath told her tale.
Summer is come, for every spray now springs:
The hart hath hung his old head on the pale;
The buck in brake his winter coat he flings;
The fishes flete with new repaired scale.
The adder all her slough away she slings;
The swift swallow pursueth the flies smale;
The busy bee her honey now she mings;
Winter is worn that was the flowers' bale.
And thus I see among these pleasant things
Each care decays, and yet my sorrow springs.",,,,,,,,,,,,,,
Passage to India by Walt Whitman,"Passage O soul to India!
Eclaircise the myths Asiatic, the primitive fables.
Not you alone, proud truths of the world, Nor you alone, ye facts of modern science, But myths and fables of eld, Asia’s, Africa’s fables, The far-darting beams of the spirit, the unloos’d dreams, The deep diving bibles and legends, The daring plots of the poets, the elder religions; O you temples fairer than lilies, pour’d over by the rising sun! O you fables, spurning the known, eluding the hold of the known, mounting to heaven! You lofty and dazzling towers, pinnacled, red as roses, burnish’d with gold! Towers of fables immortal, fashion’d from mortal dreams! You too I welcome, and fully, the same as the rest! You too with joy I sing. Passage to India!
Lo, soul! seest thou not God’s purpose from the first? The earth to be spann’d, connected by network, The races, neighbors, to marry and be given in marriage, The oceans to be cross’d, the distant brought near,
The lands to be welded together. A worship new I sing, You captains, voyagers, explorers, yours, You engineers, you architects, machinists, yours, You, not for trade or transportation only,
But in God’s name, and for thy sake, O soul.",,,,,,,,,,,,,,
His Return to London by Robert Herrick,"From the dull confines of the drooping west
To see the day spring from the pregnant east,
Ravish'd in spirit, I come, nay more, I fly
To thee, blest place of my nativity!
Thus, thus with hallow'd foot I touch the ground,
With thousand blessings by thy fortune crown'd.
O fruitful genius! that bestowest here
An everlasting plenty, year by year.
O place! O people! Manners! fram'd to please
All nations, customs, kindreds, languages!
I am a free-born Roman; suffer then
That I amongst you live a citizen.
London my home is, though by hard fate sent
Into a long and irksome banishment;
Yet since call'd back, henceforward let me be,
O native country, repossess'd by thee!
For, rather than I'll to the west return,
I'll beg of thee first here to have mine urn.
Weak I am grown, and must in short time fall;
Give thou my sacred relics burial.",,,,,,,,,,,,,,
Boot and Saddle by Robert Browning,"Boot, saddle, to horse, and away!
Rescue my Castle, before the hot day
Brightens the blue from its silvery grey,

(Chorus) ""Boot, saddle, to horse, and away!""

Ride past the suburbs, asleep as you'd say;
Many's the friend there, will listen and pray
""God's luck to gallants that strike up the lay,

(Chorus) ""Boot, saddle, to horse, and away!""

Forty miles off, like a roebuck at bay,
Flouts Castle Brancepeth the Roundheads array:
Who laughs, Good fellows ere this, by my fay,

(Chorus) ""Boot, saddle, to horse, and away!""

Who? My wife Gertrude; that, honest and gay,
Laughs when you talk of surrendering, ""Nay!
I've better counsellors; what counsel they?""

(Chorus) ""Boot, saddle, to horse, and away!""",,,,,,,,,,,,,,
The Snow Fairy by Claude McKay,"Throughout the afternoon I watched them there,
Snow-fairies falling, falling from the sky,
Whirling fantastic in the misty air,
Contending fierce for space supremacy.
And they flew down a mightier force at night,
As though in heaven there was revolt and riot,
And they, frail things had taken panic flight
Down to the calm earth seeking peace and quiet.
I went to bed and rose at early dawn
To see them huddled together in a heap,
Each merged into the other upon the lawn,
Worn out by the sharp struggle, fast asleep.
The sun shone brightly on them half the day,
By night they stealthily had stol’n away.
II
And suddenly my thoughts then turned to you
Who came to me upon a winter’s night,
When snow-sprites round my attic window flew,
Your hair disheveled, eyes aglow with light.
My heart was like the weather when you came,
The wanton winds were blowing loud and long;
But you, with joy and passion all aflame,
You danced and sang a lilting summer song.
I made room for you in my little bed,
Took covers from the closet fresh and warm,
A downful pillow for your scented head,
And lay down with you resting in my arm.
You went with Dawn. You left me ere the day,
The lonely actor of a dreamy play.",,,,,,,,,,,,,,
Nothing to fear but fear itself,"First Inaugural Address, March 4, 1932
This great Nation will endure as it has endured, will revive and will prosper.
So, first of all, let me assert my firm belief that the only thing we have to fear is fear
itself—nameless, unreasoning, unjustified terror which paralyzes needed efforts to
convert retreat into advance... In such a spirit on my part and on yours we face our
common difficulties. They concern, thank God, only material things...
More important, a host of unemployed citizens face the grim problem of
existence, and an equally great number toil with little return. Only a foolish optimist
can deny the dark realities of the moment.
Yet our distress comes from no failure of substance... Plenty is at our
doorstep, but a generous use of it languishes in the very sight of the supply. Primarily
this is because the rulers of the exchange of mankind's goods have failed, through
their own stubbornness and their own incompetence... This nation asks for action,
and action now.
Our greatest primary task is to put people to work... It can be accomplished in
part by direct recruiting by the Government itself, treating the task as we would treat
the emergency of a war, but at the same time, through this employment,
accomplishing greatly needed projects to stimulate and reorganize the use of our
natural resources...
...These measures, or such other measures as the Congress may build out of
its experience and wisdom, I shall seek, within my constitutional authority, to bring to
speedy adoption.
But in the event that the Congress shall fail to take one of these two courses,
and in the event that the national emergency is still critical... I shall ask the Congress
for the one remaining instrument to meet the crisis—broad Executive power to wage
a war against the emergency, as great as the power that would be given to me if we
were in fact invaded by a foreign foe...",,,,,,,,,,,,,,
The Snowman on the Moor by Sylvia Plath,"Stalemated their armies stood, with tottering banners: 
She flung from a room
Still ringing with bruit of insults and dishonors

And in fury left him
Glowering at the coal-fire: ""Come find me""-her last taunt.
He did not come

But sat on, guarding his grim battlement.
By the doorstep
Her winter-beheaded daisies, marrowless, gaunt,

Warned her to keep
Indoors with politic goodwill, not haste
Into a landscape

Of stark wind-harrowed hills and weltering mist; 
But from the house 
She stalked intractable as a driven ghost

Across moor snows
Pocked by rook-claw and rabbit-track: she must yet win
Him to his kneesn-",,,,,,,,,,,,,,
A Stopwatch and an Ordnance Map by Stephen Spender,"A stopwatch and an ordnance map.
At five a man fell to the ground
And the watch flew off his wrist
Like a moon struck from the earth
Marking a blank time that stares
On the tides of change beneath.
All under the olive trees.
A stopwatch and an ordnance map.
He stayed faithfully in that place
From his living comrade split
By dividers of the bullet
Opening wide the distances
Of his final loneliness.

All under the olive trees.
A stopwatch and an ordnance map.
And the bones are fixed at five
Under the moon's timelessness;
But another who lives on
Wears within his heart forever
Space split open by the bullet.
All under the olive trees.",,,,,,,,,,,,,,
Still Falls the Rain by Edith Sitwell,"Still falls the Rain—
Dark as the world of man, black as our loss—
Blind as the nineteen hundred and forty nails
Upon the Cross.
Still falls the Rain
With a sound like the pulse of the heart that is changed to the hammer-beat
In the Potter’s Field, and the sound of the impious feet
On the Tomb:
Still falls the Rain
In the Field of Blood where the small hopes breed and the human brain
Nurtures its greed, that worm with the brow of Cain.
Still falls the Rain
At the feet of the Starved Man hung upon the Cross.
Christ that each day, each night, nails there, have mercy on us—
On Dives and on Lazarus:
Under the Rain the sore and the gold are as one.
Still falls the Rain—
Still falls the Blood from the Starved Man’s wounded Side:
He bears in His Heart all wounds,—those of the light that died,
The last faint spark
In the self-murdered heart, the wounds of the sad uncomprehending dark,
The wounds of the baited bear—
The blind and weeping bear whom the keepers beat
On his helpless flesh... the tears of the hunted hare.
Still falls the Rain—
Then— O Ile leape up to my God: who pulles me doune—
See, see where Christ’s blood streames in the firmament:
It flows from the Brow we nailed upon the tree
Deep to the dying, to the thirsting heart
That holds the fires of the world,—dark-smirched with pain
As Caesar’s laurel crown.
Then sounds the voice of One who like the heart of man
Was once a child who among beasts has lain—
“Still do I love, still shed my innocent light, my Blood, for thee.”",,,,,,,,,,,,,,
The Harvest Moon by Ted Hughes,"The flame-red moon, the harvest moon,
Rolls along the hills, gently bouncing,
A vast balloon,
Till it takes off, and sinks upward
To lie on the bottom of the sky, like a gold doubloon.
The harvest moon has come,
Booming softly through heaven, like a bassoon.
And the earth replies all night, like a deep drum.

So people can't sleep,
So they go out where elms and oak trees keep
A kneeling vigil, in a religious hush.
The harvest moon has come!

And all the moonlit cows and all the sheep
Stare up at her petrified, while she swells
Filling heaven, as if red hot, and sailing
Closer and closer like the end of the world.

Till the gold fields of stiff wheat
Cry `We are ripe, reap us!' and the rivers
Sweat from the melting hills.",,,,,,,,,,,,,,
To a Captious Critic by Paul Laurence Dunbar,"Dear critic, who my lightness so deplores,
Would I might study to be prince of bores,
Right wisely would I rule that dull estate—
But, sir, I may not, till you abdicate",,,,,,,,,,,,,,
The Gift of India by Sarojini Naidu,"Is there aught you need that my hands withhold,
Rich gifts of raiment or grain or gold?
Lo! I have flung to the East and West
Priceless treasures torn from my breast,
And yielded the sons of my stricken womb
To the drum-beats of duty, the sabres of doom.

Gathered like pearls in their alien graves
Silent they sleep by the Persian waves,
Scattered like shells on Egyptian sands,
They lie with pale brows and brave, broken hands,
They are strewn like blossoms mown down by chance
On the blood-brown meadows of Flanders and France.

Can ye measure the grief of the tears I weep
Or compass the woe of the watch I keep?
Or the pride that thrills thro' my heart's despair
And the hope that comforts the anguish of prayer?
And the far sad glorious vision I see
Of the torn red banners of Victory?

When the terror and tumult of hate shall cease
And life be refashioned on anvils of peace,
And your love shall offer memorial thanks
To the comrades who fought in your dauntless ranks,
And you honour the deeds of the deathless ones
Remember the blood of thy martyred sons!",,,,,,,,,,,,,,
The Farrier by Owen Sheers,"Blessing himself with his apron,
the leather black and tan of a rain-beaten bay,
he pinches a roll-up to his lips and waits

the smoke slow-turning from his mouth,
for the mare to be led from the field to the yard
and the wind twisting his sideburns in its fingers.

She smells him as he passes, woodbine, metal and hoof,
careful not to look her in the eye as he runs his hand
the length of her neck, checking for dust on the lintels.


Folding her back leg with one arm, he leans into her flank
like a man putting his shoulder to a knackered car,
catches the hoof between his knees

as if it's just fallen from a table,
cups her fetlock and bends,
a romantic lead dropping to the lips of his lover.

Then the close work begins: cutting moon-sliver clippings,
excavating the arrow head of her frog,
filing at the sole and branding on a shoe

in an apparition of smoke,
three nails gritted between his teeth,
a seamstress pinning the dress of the bride.

Placing his tools in their beds,
he gives her a slap and watches her leave,
awkward in her new shoes, walking on strange ground.

The sound of his steel, biting at her heels.",,,,,,,,,,,,,,
Romeo and Juliet Act I Prologue by William Shakespeare,"Two households, both alike in dignity,
In fair Verona where we lay our scene,
From ancient grudge break to new mutiny,
Where civil blood makes civil hands unclean.
From forth the fatal loins of these two foes,
A pair of star-crossed lovers take their life,
Whose misadventured piteous overthrows
Doth, with their death, bury their parents' strife.
The fearful passage of their death-marked love
And the continuance of their parents' rage — Which, but their children's end, nought could remove —
Is now the two hours' traffic of our stage;
The which, if you with patient ears attend,
What here shall miss, our toil shall strive to mend.",,,,,,,,,,,,,,
Concord Hymn by Ralph Waldo Emerson,"By the rude bridge that arched the flood,
Their flag to April’s breeze unfurled,
Here once the embattled farmers stood
And fired the shot heard round the world.
The foe long since in silence slept;
Alike the conqueror silent sleeps;
And Time the ruined bridge has swept
Down the dark stream which seaward creeps.
On this green bank, by this soft stream,
We set today a votive stone;
That memory may their deed redeem,
When, like our sires, our sons are gone.
Spirit, that made those heroes dare
To die, and leave their children free,
Bid Time and Nature gently spare
The shaft we raise to them and thee.",,,,,,,,,,,,,,
